go_source	rust_destination	phase	status	approved_disposition
backend-go/cmd/migrate_turso_to_postgres.go	backend/src/bin/migrate_turso_to_postgres.rs	4.2	pending	
backend-go/docs/docs.go	backend/src/openapi.rs	4.8	pending	
backend-go/main.go	backend/src/main.rs	4.8	pending	
backend-go/pkg/api/agent/handlers.go	backend/src/api/agent/handlers.rs	4.7	pending	
backend-go/pkg/api/agent/routes.go	backend/src/api/agent/routes.rs	4.7	pending	
backend-go/pkg/api/article/handlers.go	backend/src/api/article/handlers.rs	4.7	pending	
backend-go/pkg/api/article/routes.go	backend/src/api/article/routes.rs	4.7	pending	
backend-go/pkg/api/auth/handlers.go	backend/src/api/auth/handlers.rs	4.7	parity-passed	Axum handlers preserve JSON envelopes and active multipart forms; stricter auth corrections are documented
backend-go/pkg/api/auth/routes.go	backend/src/api/auth/routes.rs	4.7	parity-passed	Utoipa OpenApiRouter exposes all six auth operations and bearer security
backend-go/pkg/api/datasource/handlers.go	backend/src/api/datasource/handlers.rs	4.7	pending	
backend-go/pkg/api/datasource/routes.go	backend/src/api/datasource/routes.rs	4.7	pending	
backend-go/pkg/api/dto/article.go	backend/src/api/dto/article.rs	4.7	pending	
backend-go/pkg/api/dto/auth.go	backend/src/api/auth/dto.rs	4.7	parity-passed	Serde and Utoipa DTOs preserve camelCase contracts with documented password safety corrections
backend-go/pkg/api/dto/common.go	backend/src/api/dto/common.rs	4.7	pending	
backend-go/pkg/api/dto/datasource.go	backend/src/api/dto/datasource.rs	4.7	pending	
backend-go/pkg/api/dto/insight.go	backend/src/api/dto/insight.rs	4.7	pending	
backend-go/pkg/api/dto/organization.go	backend/src/api/dto/organization.rs	4.7	pending	
backend-go/pkg/api/dto/page.go	backend/src/api/dto/page.rs	4.7	pending	
backend-go/pkg/api/dto/profile.go	backend/src/api/dto/profile.rs	4.7	pending	
backend-go/pkg/api/dto/project.go	backend/src/api/dto/project.rs	4.7	pending	
backend-go/pkg/api/dto/source.go	backend/src/api/dto/source.rs	4.7	pending	
backend-go/pkg/api/dto/storage.go	backend/src/api/dto/storage.rs	4.7	pending	
backend-go/pkg/api/dto/task_run.go	backend/src/api/dto/task_run.rs	4.7	pending	
backend-go/pkg/api/dto/worker.go	backend/src/api/dto/worker.rs	4.7	pending	
backend-go/pkg/api/insight/handlers.go	backend/src/api/insight/handlers.rs	4.7	pending	
backend-go/pkg/api/insight/routes.go	backend/src/api/insight/routes.rs	4.7	pending	
backend-go/pkg/api/middleware/auth.go	backend/src/api/auth/handlers.rs;backend/src/core/auth/service.rs	4.7	parity-passed	Bearer extraction and HS256 token validation are endpoint-local and constructor-injected
backend-go/pkg/api/middleware/context.go	backend/src/api/middleware/context.rs	4.7	pending	
backend-go/pkg/api/middleware/cors.go	backend/src/api/middleware/cors.rs	4.7	pending	
backend-go/pkg/api/middleware/logging.go	backend/src/api/middleware/logging.rs	4.7	pending	
backend-go/pkg/api/middleware/recovery.go	backend/src/api/middleware/recovery.rs	4.7	pending	
backend-go/pkg/api/middleware/security.go	backend/src/api/middleware/security.rs	4.7	pending	
backend-go/pkg/api/organization/handlers.go	backend/src/api/organization/handlers.rs	4.7	pending	
backend-go/pkg/api/organization/routes.go	backend/src/api/organization/routes.rs	4.7	pending	
backend-go/pkg/api/page/handlers.go	backend/src/api/page/handlers.rs	4.7	pending	
backend-go/pkg/api/page/routes.go	backend/src/api/page/routes.rs	4.7	pending	
backend-go/pkg/api/profile/handlers.go	backend/src/api/profile/handlers.rs	4.7	pending	
backend-go/pkg/api/profile/routes.go	backend/src/api/profile/routes.rs	4.7	pending	
backend-go/pkg/api/project/handlers.go	backend/src/api/project/handlers.rs	4.7	pending	
backend-go/pkg/api/project/routes.go	backend/src/api/project/routes.rs	4.7	pending	
backend-go/pkg/api/response/error_mapper.go	backend/src/api/response/error_mapper.rs	4.7	pending	
backend-go/pkg/api/response/response.go	backend/src/api/response/response.rs	4.7	pending	
backend-go/pkg/api/router.go	backend/src/app.rs	4.7	pending	
backend-go/pkg/api/source/handlers.go	backend/src/api/source/handlers.rs	4.7	pending	
backend-go/pkg/api/source/routes.go	backend/src/api/source/routes.rs	4.7	pending	
backend-go/pkg/api/storage/handlers.go	backend/src/api/storage/handlers.rs	4.7	pending	
backend-go/pkg/api/storage/routes.go	backend/src/api/storage/routes.rs	4.7	pending	
backend-go/pkg/api/taskrun/handlers.go	backend/src/api/taskrun/handlers.rs	4.7	pending	
backend-go/pkg/api/taskrun/routes.go	backend/src/api/taskrun/routes.rs	4.7	pending	
backend-go/pkg/api/validation/middleware.go	backend/src/api/validation/middleware.rs	4.7	pending	
backend-go/pkg/api/validation/validator_test.go	backend/src/api/validation/validator_test.rs	4.7	pending	
backend-go/pkg/api/validation/validator.go	backend/src/api/validation/validator.rs	4.7	pending	
backend-go/pkg/api/websocket/agent_streaming.go	backend/src/api/websocket/supervisor.rs;backend/src/api/websocket/ports.rs	4.7	parity-passed	Injected single-consumer streams preserve requestId overwrite, ordering, missing-request error, and terminal done/error behavior
backend-go/pkg/api/websocket/connection.go	backend/src/api/websocket/connection.rs;backend/src/api/websocket/transport.rs	4.7	parity-passed	One writer preserves 256-frame FIFO drop-newest behavior, timing, liveness, and idempotent cancellation
backend-go/pkg/api/websocket/manager.go	backend/src/api/websocket/supervisor.rs;backend/src/api/websocket/routes.rs	4.7	parity-passed	Application-owned supervisor enforces 1000 connections and bounded cancellation, abort, and full reap
