id	domain	method	path	auth	request	response_status_shape	omission_null_rules	frontend_consumers	swagger	classification
HTTP-001	meta	GET	/	public	-	200 {message:"Blog Agent API"}	exact object	-	missing	active-contract
HTTP-002	meta	GET	/health	public	-	200 {status:"ok"}	exact object	-	missing	active-contract
HTTP-003	meta	GET	/swagger/*	public	-	Swagger UI assets	UI route	-	missing	active-contract
HTTP-004	meta	GET	/api/openapi.json	public	-	200 OpenAPI JSON	exact generated document	frontend/openapi-ts.config.ts currently reads file	missing	active-contract
HTTP-005	agent	POST	/agent	Bearer JWT	copilot.ChatRequest	200 copilot.ChatRequestResponse;400;401;500	runtime response uses requestId	frontend/src/components/blog/Editor.tsx	covered	active-contract
WS-001	agent	GET	/websocket	public upgrade	SubscribeMessage	101; frames WS-002..WS-008	no handshake auth	frontend/src/hooks/use-session.ts;frontend/src/hooks/use-worker-statuses.ts;frontend/src/components/blog/Editor.tsx	missing	active-contract
HTTP-006	agent	GET	/agent/conversations/{articleId}	Bearer JWT	path UUID;limit=50	200 {messages,article_id,total};400;401;500	exact runtime casing	frontend/src/services/conversations.ts	covered	active-contract
HTTP-007	agent	DELETE	/agent/conversations/{articleId}	Bearer JWT	path UUID	200 {success};400;401;500	exact object	frontend/src/services/conversations.ts	covered	active-contract
HTTP-008	agent	GET	/agent/artifacts/{articleId}/pending	Bearer JWT	path UUID	200 {artifacts};400;401;500	exact object	frontend/src/services/artifacts.ts	covered	active-contract
HTTP-009	agent	POST	/agent/artifacts/{messageId}/accept	Bearer JWT	optional {feedback:string}	200 {success};400;401;500	feedback optional	frontend/src/services/artifacts.ts	covered	active-contract
HTTP-010	agent	POST	/agent/artifacts/{messageId}/reject	Bearer JWT	optional {feedback:string}	200 {success};400;401;500	feedback optional	frontend/src/services/artifacts.ts	covered	active-contract
HTTP-011	article	GET	/blog/articles/search	public	query required;page;tag;status;sortBy;sortOrder	200 ArticleListResponse;400;500	per runtime structs	frontend/src/services/blog.ts	covered	active-contract
HTTP-012	article	GET	/blog/articles/{slug}	public	path slug	200 ArticleResponse;400;404;500	per runtime structs	frontend/src/services/blog.ts	covered	active-contract
HTTP-013	article	GET	/blog/articles/{id}/recommended	public	path UUID	200 []ArticleResponse;400;404;500	empty list vs null preserved	frontend/src/services/blog.ts	covered	active-contract
HTTP-014	article	GET	/blog/articles	public	page;articlesPerPage;tag;status;sortBy;sortOrder	200 ArticleListResponse;500	per runtime structs	frontend/src/services/blog.ts	covered	active-contract
HTTP-015	article	GET	/blog/tags/popular	public	-	200 {tags:[]string};500	empty list vs null preserved	frontend/src/services/blog.ts	covered	active-contract
HTTP-016	article	POST	/blog/generate	Bearer JWT	{prompt,title};either nonblank	200 {article,request_id};400;401;500	exact snake_case request_id	frontend/src/services/llm/articles.ts	covered	active-contract
HTTP-017	article	PUT	/blog/{id}/update	Bearer JWT	path UUID;no body	200 article;400;401;404;500	per runtime structs	frontend/src/services/llm/articles.ts	covered	active-contract
HTTP-018	article	POST	/blog/articles/{slug}/update	Bearer JWT	core/article.UpdateRequest	200 article;400;401;404;500	runtime DTO wins	frontend/src/services/blog.ts	covered	active-contract
HTTP-019	article	POST	/blog/articles	Bearer JWT	core.article.CreateRequest	201 article;400;401;500	runtime requires authorId	frontend/src/services/blog.ts	covered	active-contract
HTTP-020	article	DELETE	/blog/articles/{id}	Bearer JWT	path UUID	200 {success};400;401;404;500	exact object	frontend/src/services/blog.ts	covered	active-contract
HTTP-021	article	POST	/blog/articles/{slug}/publish	Bearer JWT	optional {published_at:*int64}	200 article;400;401;404;500	body parse errors currently ignored	frontend/src/services/blog.ts	covered	active-contract
HTTP-022	article	POST	/blog/articles/{slug}/unpublish	Bearer JWT	-	200 article;400;401;404;500	per runtime structs	frontend/src/services/blog.ts	covered	active-contract
HTTP-023	article	GET	/blog/articles/{slug}/versions	Bearer JWT	path slug	200 version list;400;401;404;500	empty list vs null preserved	frontend/src/services/blog.ts	covered	active-contract
HTTP-024	article	GET	/blog/articles/versions/{versionId}	Bearer JWT	path UUID	200 version;400;401;404;500	per runtime structs	frontend/src/services/blog.ts	covered	active-contract
HTTP-025	article	POST	/blog/articles/{slug}/revert/{versionId}	Bearer JWT	path slug+UUID	200 article;400;401;404;500	per runtime structs	frontend/src/services/blog.ts	covered	active-contract
HTTP-026	auth	POST	/auth/login	public	types.LoginRequest	200 types.LoginResponse;400;401	runtime camelCase fields	frontend/src/services/auth/auth.tsx	covered	active-contract
HTTP-027	auth	POST	/auth/register	public	types.RegisterRequest	201 {message};400;409	security correction: validate name/email/password despite missing Go tags	-	covered	active-contract
HTTP-028	auth	POST	/auth/logout	public	-	200 {message}	public despite Swagger security	frontend/src/services/auth/auth.tsx	covered	active-contract
HTTP-029	auth	PUT	/auth/account	Bearer JWT	types.UpdateAccountRequest	200 {message};400;401	JSON and active-frontend multipart form	frontend/src/services/auth/auth.tsx	covered	active-contract
HTTP-030	auth	PUT	/auth/password	Bearer JWT	types.UpdatePasswordRequest	200 {message};400;401	JSON or multipart; currentPassword/newPassword; min 6 and max 72 bytes	frontend/src/services/auth/auth.tsx	covered	active-contract
HTTP-031	auth	DELETE	/auth/account	Bearer JWT	{password}	200 {message};400;401	JSON and active-frontend multipart form	frontend/src/services/auth/auth.tsx	covered	active-contract
HTTP-032	datasource	GET	/data-sources	Bearer JWT	page=1;limit=20	200 []DataSourceResponse;401;500	empty list vs null preserved	frontend/src/services/dataSources.ts	missing	active-contract
HTTP-033	datasource	POST	/data-sources	Bearer JWT	DataSourceCreateRequest	201 DataSourceResponse;400;401;500	per runtime DTO	frontend/src/services/dataSources.ts	missing	active-contract
HTTP-034	datasource	POST	/data-sources/recommendations	Bearer JWT	DataSourceRecommendationRequest	200 DataSourceRecommendationsResponse;400;401;502	per runtime DTO	frontend/src/services/dataSources.ts	missing	active-contract
HTTP-035	datasource	POST	/data-sources/recommendations/discovery	Bearer JWT	optional DataSourceDiscoveryRecommendationRequest	200 DataSourceRecommendationsResponse;400;401;502	body optional	frontend/src/services/dataSources.ts	missing	active-contract
HTTP-036	datasource	GET	/data-sources/{id}	Bearer JWT	path UUID	200 DataSourceResponse;400;401;404;500	per runtime DTO	frontend/src/services/dataSources.ts	missing	active-contract
