target	case_id	go_observed_result	rust_observed_result	removal_condition
insights	TestService_GetInsightByID	pass	pending_port	Rust case and insight API parity case pass
insights	TestService_ListInsights	pass	pending_port	Rust case and insight API parity case pass
insights	TestService_CreateInsight	pass	pending_port	Rust case and insight API parity case pass
insights	TestService_DeleteInsight	pass	pending_port	Rust case and insight API parity case pass
insights	TestService_GetTopicByID	pass	pending_port	Rust case and insight API parity case pass
insights	TestService_ListTopics	pass	pending_port	Rust case and insight API parity case pass
insights	TestService_CreateTopic	pass	pending_port	Rust case and insight API parity case pass
insights	TestService_DeleteTopic	pass	pending_port	Rust case and insight API parity case pass
insights	TestService_MarkInsightAsRead	pass	pending_port	Rust case and insight API parity case pass
insights	TestService_ToggleInsightPinned	pass	pending_port	Rust case and insight API parity case pass
insights	TestService_ListAllTopics	pass	pending_port	Rust case and insight API parity case pass
